Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1.0.2.4-1.0.5.1-80-57328-6,1.0.5.1,57328,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1092,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,13736.263736263734,4578.754578754579,273.0,546.0,1092.0,0.0,0,0,0,0,0,1092.0,364.0,630.4664939550713,1092.0,0.0,0,0,0,0,32,144,915.7509157509156,3663.0036630036625,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57330-6,1.0.5.1,57330,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1085,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,13824.884792626728,4608.294930875576,271.25,542.5,1085.0,0.0,0,0,0,0,0,1085.0,361.66666666666663,626.425042070744,1085.0,0.0,0,0,0,0,32,144,921.6589861751152,3686.6359447004606,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57332-6,1.0.5.1,57332,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1079,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,13901.760889712696,4633.920296570898,269.75,539.5,1079.0,0.0,0,0,0,0,0,1079.0,359.66666666666663,622.9609404556062,1079.0,0.0,0,0,0,0,32,144,926.7840593141797,3707.1362372567187,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57334-6,1.0.5.1,57334,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1072,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,13992.537313432835,4664.179104477612,268.0,536.0,1072.0,0.0,0,0,0,0,0,1072.0,357.33333333333337,618.9194885712787,1072.0,0.0,0,0,0,0,32,144,932.8358208955224,3731.3432835820895,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57336-6,1.0.5.1,57336,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1066,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,14071.294559099435,4690.431519699812,266.5,533.0,1066.0,0.0,0,0,0,0,0,1066.0,355.33333333333337,615.4553869561411,1066.0,0.0,0,0,0,0,32,144,938.0863039399624,3752.3452157598495,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57338-6,1.0.5.1,57338,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1060,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,14150.943396226416,4716.981132075472,265.0,530.0,1060.0,0.0,0,0,0,0,0,1060.0,353.33333333333337,611.9912853410033,1060.0,0.0,0,0,0,0,32,144,943.3962264150944,3773.5849056603774,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57340-6,1.0.5.1,57340,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1055,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,14218.009478672986,4739.336492890996,263.75,526.1675113497602,1053.0,0.0,0,0,0,0,0,1055.0,351.66666666666663,607.3733064049928,1053.0,0.0,0,0,0,0,32,144,947.8672985781991,3791.4691943127964,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57342-6,1.0.5.1,57342,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1049,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,14299.332697807435,4766.444232602478,262.25,523.1675161934273,1047.0,0.0,0,0,0,0,0,1049.0,349.66666666666663,603.9092095119377,1047.0,0.0,0,0,0,0,32,144,953.2888465204957,3813.1553860819827,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57344-6,1.0.5.1,57344,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1041,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,14409.22190201729,4803.073967339097,260.25,519.8335470770107,1040.0,0.0,0,0,0,0,0,1041.0,347.0,600.1558131018977,1040.0,0.0,0,0,0,0,32,144,960.6147934678194,3842.4591738712775,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-1.0.5.1-80-57346-6,1.0.5.1,57346,1.0.2.4,80,6,01/01/1970 08:00:34 上午,1083,1,4,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,3.75,7.5,13850.415512465373,4616.805170821792,270.75,509.35735654515355,1034.0,0.0,0,0,0,0,0,1083.0,361.0,583.3498092911319,1034.0,0.0,0,0,0,0,32,144,923.3610341643583,3693.4441366574333,0.0,15.0,2.5,6.123724356957945,37.5,0,1,0,0,0,0,0,0,4.0,3.0,0.0,3.75,0,0,0,0,0,0,1,0,4,15,-1,227,0,0,0,0,0,0,0,0,0,0,No Label
