"No.","Time","Source","Destination","Protocol","Length","Info","...o"
"1","0.000000000","172.217.160.66","192.168.171.128","UDP","73","443  >  42273 Len=29","0.000000000"
"2","0.000942089","192.168.171.128","172.217.160.98","UDP","78","52030  >  443 Len=34","0.000942089"
"3","0.008672756","172.217.160.98","192.168.171.128","UDP","73","443  >  52030 Len=29","0.008672756"
"4","0.009088692","192.168.171.128","172.217.160.98","UDP","79","52030  >  443 Len=35","0.009088692"
"5","0.095274623","192.168.171.128","142.251.42.226","UDP","1067","56260  >  443 Len=1023","0.095274623"
"6","0.104713534","142.251.42.226","192.168.171.128","UDP","79","443  >  56260 Len=35","0.104713534"
"7","0.126505887","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","0.126505887"
"8","0.156671761","3.210.145.112","192.168.171.128","TLSv1.2","135","Application Data","0.156671761"
"9","0.156686673","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=1 Ack=80 Win=65535 Len=0","0.156686673"
"10","0.227906318","142.251.42.226","192.168.171.128","UDP","246","443  >  56260 Len=202","0.227906318"
"11","0.227906508","142.251.42.226","192.168.171.128","UDP","163","443  >  56260 Len=119","0.227906508"
"12","0.228283347","192.168.171.128","142.251.42.226","UDP","85","56260  >  443 Len=41","0.228283347"
"13","0.239442403","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","0.239442403"
"14","0.244712803","192.168.171.128","3.210.145.112","TLSv1.2","442","Application Data","0.244712803"
"15","0.244858452","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=80 Ack=387 Win=64240 Len=0","0.244858452"
"16","0.248470203","192.168.171.128","3.210.145.112","TLSv1.2","443","Application Data","0.248470203"
"17","0.248764006","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=80 Ack=774 Win=64240 Len=0","0.248764006"
"18","0.251851624","192.168.171.128","172.217.160.98","UDP","251","52030  >  443 Len=207","0.251851624"
"19","0.255550834","192.168.171.128","172.217.160.66","UDP","249","42273  >  443 Len=205","0.255550834"
"20","0.261899244","172.217.160.98","192.168.171.128","UDP","79","443  >  52030 Len=35","0.261899244"
"21","0.262741335","172.217.160.66","192.168.171.128","UDP","79","443  >  42273 Len=35","0.262741335"
"22","0.269149359","172.217.160.98","192.168.171.128","UDP","393","443  >  52030 Len=349","0.269149359"
"23","0.269714567","192.168.171.128","172.217.160.98","UDP","84","52030  >  443 Len=40","0.269714567"
"24","0.269775679","172.217.160.66","192.168.171.128","UDP","236","443  >  42273 Len=192","0.269775679"
"25","0.270188859","192.168.171.128","172.217.160.66","UDP","85","42273  >  443 Len=41","0.270188859"
"26","0.280804699","172.217.160.66","192.168.171.128","UDP","73","443  >  42273 Len=29","0.280804699"
"27","0.282165543","172.217.160.98","192.168.171.128","UDP","73","443  >  52030 Len=29","0.282165543"
"28","0.325319656","192.168.171.128","142.251.42.226","UDP","1066","56260  >  443 Len=1022","0.325319656"
"29","0.333240124","142.251.42.226","192.168.171.128","UDP","79","443  >  56260 Len=35","0.333240124"
"30","0.354329637","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","0.354329637"
"31","0.357067352","3.210.145.112","192.168.171.128","TLSv1.2","135","Application Data","0.357067352"
"32","0.357084705","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=774 Ack=159 Win=65535 Len=0","0.357084705"
"33","0.488884972","142.251.42.226","192.168.171.128","UDP","296","443  >  56260 Len=252","0.488884972"
"34","0.490031948","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","0.490031948"
"35","0.503147988","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","0.503147988"
"36","0.510644936","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","0.510644936"
"37","0.516006744","142.251.42.226","192.168.171.128","UDP","246","443  >  56260 Len=202","0.516006744"
"38","0.516312534","192.168.171.128","142.251.42.226","UDP","79","56260  >  443 Len=35","0.516312534"
"39","0.518069446","192.168.171.128","3.210.145.112","TLSv1.2","440","Application Data","0.518069446"
"40","0.518295380","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=159 Ack=1158 Win=64240 Len=0","0.518295380"
"41","0.526733623","192.168.171.128","3.210.145.112","TLSv1.2","441","Application Data","0.526733623"
"42","0.526919824","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=159 Ack=1543 Win=64240 Len=0","0.526919824"
"43","0.541998848","192.168.171.128","172.217.160.98","UDP","251","52030  >  443 Len=207","0.541998848"
"44","0.552914168","172.217.160.98","192.168.171.128","UDP","79","443  >  52030 Len=35","0.552914168"
"45","0.556260994","3.210.145.112","192.168.171.128","TLSv1.2","135","Application Data","0.556260994"
"46","0.556299046","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=1543 Ack=238 Win=65535 Len=0","0.556299046"
"47","0.556425401","3.210.145.112","192.168.171.128","TLSv1.2","135","Application Data","0.556425401"
"48","0.556431016","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=1543 Ack=317 Win=65535 Len=0","0.556431016"
"49","0.557680922","192.168.171.128","172.217.160.66","UDP","249","42273  >  443 Len=205","0.557680922"
"50","0.557935765","172.217.160.98","192.168.171.128","UDP","232","443  >  52030 Len=188","0.557935765"
"51","0.558549723","192.168.171.128","172.217.160.98","UDP","92","52030  >  443 Len=48","0.558549723"
"52","0.559119150","172.217.160.98","192.168.171.128","UDP","242","443  >  52030 Len=198","0.559119150"
"53","0.566982109","172.217.160.66","192.168.171.128","UDP","79","443  >  42273 Len=35","0.566982109"
"54","0.568702582","172.217.160.98","192.168.171.128","UDP","73","443  >  52030 Len=29","0.568702582"
"55","0.572221772","172.217.160.66","192.168.171.128","UDP","233","443  >  42273 Len=189","0.572221772"
"56","0.572221891","172.217.160.66","192.168.171.128","UDP","103","443  >  42273 Len=59","0.572221891"
"57","0.572508375","192.168.171.128","172.217.160.66","UDP","85","42273  >  443 Len=41","0.572508375"
"58","0.579281359","192.168.171.128","172.217.160.98","UDP","77","52030  >  443 Len=33","0.579281359"
"59","0.583849570","172.217.160.66","192.168.171.128","UDP","73","443  >  42273 Len=29","0.583849570"
"60","0.592062119","192.168.171.128","142.251.42.226","UDP","1066","56260  >  443 Len=1022","0.592062119"
"61","0.602280650","142.251.42.226","192.168.171.128","UDP","79","443  >  56260 Len=35","0.602280650"
"62","0.623380147","192.168.171.128","142.251.42.226","UDP","77","56260  >  443 Len=33","0.623380147"
"63","0.751180419","142.251.42.226","192.168.171.128","UDP","422","443  >  56260 Len=378","0.751180419"
"64","0.751901627","192.168.171.128","142.251.42.226","UDP","78","56260  >  443 Len=34","0.751901627"
"65","0.757726257","3.210.145.112","192.168.171.128","TLSv1.2","214","Application Data, Application Data","0.757726257"
"66","0.757749296","192.168.171.128","3.210.145.112","TCP","56","57420  >  443 [ACK] Seq=1543 Ack=475 Win=65535 Len=0","0.757749296"
"67","0.763166219","142.251.42.226","192.168.171.128","UDP","73","443  >  56260 Len=29","0.763166219"
"68","0.771517745","192.168.171.128","3.210.145.112","TLSv1.2","443","Application Data","0.771517745"
"69","0.771763886","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=475 Ack=1930 Win=64240 Len=0","0.771763886"
"70","0.772365719","192.168.171.128","142.251.42.226","UDP","77","56260  >  443 Len=33","0.772365719"
"71","0.774781054","192.168.171.128","3.210.145.112","TLSv1.2","444","Application Data","0.774781054"
"72","0.775012695","3.210.145.112","192.168.171.128","TCP","62","443  >  57420 [ACK] Seq=475 Ack=2318 Win=64240 Len=0","0.775012695"
"73","0.781743727","192.168.171.128","172.217.160.98","UDP","251","52030  >  443 Len=207","0.781743727"
"74","0.791501612","172.217.160.98","192.168.171.128","UDP","79","443  >  52030 Len=35","0.791501612"
"75","0.791508754","192.168.171.128","172.217.160.66","UDP","249","42273  >  443 Len=205","0.791508754"
"76","0.799303563","172.217.160.98","192.168.171.128","UDP","458","443  >  52030 Len=414","0.799303563"
