"No.","Time","Source","Destination","Protocol","Length","Info","information","Src addr(resolved)","Src addr(unresolved)","Net  addr"
"1","0.000000000","192.168.171.1","192.168.171.255","NBNS","94","Name query NB WORKGROUP<1c>","Name query NB WORKGROUP<1c>","192.168.171.1","192.168.171.1","192.168.171.1"
"2","0.752677644","192.168.171.1","192.168.171.255","NBNS","94","Name query NB WORKGROUP<1c>","Name query NB WORKGROUP<1c>","192.168.171.1","192.168.171.1","192.168.171.1"
"3","1.403509793","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=1 TSval=311223535 TSecr=311216067","49556  >  35813 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=1 TSval=311223535 TSecr=311216067","127.0.0.1","127.0.0.1","127.0.0.1"
"4","1.403516635","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=311223535 TSecr=311223535","35813  >  49556 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=311223535 TSecr=311223535","127.0.0.1","127.0.0.1","127.0.0.1"
"5","1.410768521","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=2 Ack=1 Win=512 Len=1 TSval=311223542 TSecr=311223535","49556  >  35813 [PSH, ACK] Seq=2 Ack=1 Win=512 Len=1 TSval=311223542 TSecr=311223535","127.0.0.1","127.0.0.1","127.0.0.1"
"6","1.410776348","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=3 Win=512 Len=0 TSval=311223542 TSecr=311223542","35813  >  49556 [ACK] Seq=1 Ack=3 Win=512 Len=0 TSval=311223542 TSecr=311223542","127.0.0.1","127.0.0.1","127.0.0.1"
"7","1.419156728","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=3 Ack=1 Win=512 Len=1 TSval=311223550 TSecr=311223542","49556  >  35813 [PSH, ACK] Seq=3 Ack=1 Win=512 Len=1 TSval=311223550 TSecr=311223542","127.0.0.1","127.0.0.1","127.0.0.1"
"8","1.419167819","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=4 Win=512 Len=0 TSval=311223550 TSecr=311223550","35813  >  49556 [ACK] Seq=1 Ack=4 Win=512 Len=0 TSval=311223550 TSecr=311223550","127.0.0.1","127.0.0.1","127.0.0.1"
"9","1.429088773","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=4 Ack=1 Win=512 Len=1 TSval=311223560 TSecr=311223550","49556  >  35813 [PSH, ACK] Seq=4 Ack=1 Win=512 Len=1 TSval=311223560 TSecr=311223550","127.0.0.1","127.0.0.1","127.0.0.1"
"10","1.429096133","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=5 Win=512 Len=0 TSval=311223560 TSecr=311223560","35813  >  49556 [ACK] Seq=1 Ack=5 Win=512 Len=0 TSval=311223560 TSecr=311223560","127.0.0.1","127.0.0.1","127.0.0.1"
"11","1.443501937","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=5 Ack=1 Win=512 Len=1 TSval=311223575 TSecr=311223560","49556  >  35813 [PSH, ACK] Seq=5 Ack=1 Win=512 Len=1 TSval=311223575 TSecr=311223560","127.0.0.1","127.0.0.1","127.0.0.1"
"12","1.443509987","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=6 Win=512 Len=0 TSval=311223575 TSecr=311223575","35813  >  49556 [ACK] Seq=1 Ack=6 Win=512 Len=0 TSval=311223575 TSecr=311223575","127.0.0.1","127.0.0.1","127.0.0.1"
