Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.107-31.13.87.1-55967-443-6,192.168.31.107,55967,31.13.87.1,443,6,27/09/2023 05:58:31 下午,23579,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1314.7292081937317,169.64247847661053,7859.666666666666,13076.668625201655,22956.0,38.0,0,0,0,0,0,23579.0,11789.5,15791.815744239166,22956.0,623.0,0,0,0,0,20,60,42.410619619152634,127.23185885745791,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,0,0,1,0,0,0,3.0,7.75,0.0,10.333333333333334,0,0,0,0,0,0,1,0,3,31,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-20.189.173.16-55964-443-6,192.168.31.107,55964,20.189.173.16,443,6,27/09/2023 05:58:39 下午,161469,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.386278480699081,161469.0,0.0,161469.0,161469.0,0,0,0,0,0,161469.0,161469.0,0.0,161469.0,161469.0,0,0,0,0,0,40,0.0,12.386278480699081,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,63869,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-23.210.237.156-55993-443-6,192.168.31.107,55993,23.210.237.156,443,6,27/09/2023 05:58:49 下午,16678,0,3,0.0,24.0,0,0,0,0,24.0,0.0,8.0,13.856406460551018,1439.0214654035258,179.87768317544072,8339.0,11793.12689662924,16678.0,0.0,0,0,0,0,0,16678.0,8339.0,11793.12689662924,16678.0,0.0,0,0,0,0,0,60,0.0,179.87768317544072,0.0,24.0,6.0,12.0,144.0,1,0,0,0,1,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,-1,63784,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-23.210.237.156-55992-443-6,192.168.31.107,55992,23.210.237.156,443,6,27/09/2023 05:58:49 下午,27312,0,3,0.0,24.0,0,0,0,0,24.0,0.0,8.0,13.856406460551018,878.7346221441124,109.84182776801406,13656.0,19312.500407766987,27312.0,0.0,0,0,0,0,0,27312.0,13656.0,19312.500407766987,27312.0,0.0,0,0,0,0,0,60,0.0,109.84182776801406,0.0,24.0,6.0,12.0,144.0,1,0,0,0,1,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,-1,63784,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-55994-443-6,192.168.31.107,55994,31.13.87.1,443,6,27/09/2023 05:58:54 下午,16632,1,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,4629.62962962963,300.6253006253006,4158.0,8063.873552249357,16252.0,0.0,0,0,0,0,0,16632.0,5544.0,9275.346246906365,16252.0,0.0,0,0,0,0,20,80,60.12506012506012,240.5002405002405,0.0,46.0,12.833333333333334,20.439341150503523,417.7666666666667,1,0,0,0,1,0,0,0,4.0,15.4,0.0,19.25,0,0,0,0,0,0,1,0,4,77,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-56025-443-6,192.168.31.107,56025,31.13.87.1,443,6,27/09/2023 05:59:03 下午,284143,9,9,1289.0,4346.0,639.0,0.0,143.22222222222223,249.42272239001088,1392.0,0.0,482.88888888888886,598.9301804977864,19831.563684482815,63.34838444022905,16714.294117647063,43665.87282100964,177677.0,0.0,269062.0,33632.75,62890.63234752398,178051.0,24.0,283550.0,35443.75,79458.73869185189,230866.0,0.0,0,0,0,0,180,196,31.674192220114524,31.674192220114524,0.0,1392.0,296.57894736842104,470.1925510763854,221081.03508771933,0,1,0,0,0,0,0,0,1.0,313.05555555555554,143.22222222222223,482.8888888888889,0,0,0,0,0,0,9,1289,9,4346,-1,65535,5,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-56025-443-6,31.13.87.1,443,192.168.31.107,56025,6,27/09/2023 05:59:03 下午,1648,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,14563.106796116504,1820.388349514563,824.0,1088.9444430272831,1594.0,54.0,0,0,0,0,0,54.0,54.0,0.0,54.0,54.0,0,1,0,0,20,40,606.7961165048544,1213.5922330097087,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-203.211.4.176-55963-443-6,192.168.31.107,55963,203.211.4.176,443,6,27/09/2023 05:59:14 下午,23991,0,3,0.0,31.0,0,0,0,0,31.0,0.0,10.333333333333332,17.8978583448784,1292.1512233754324,125.04689258471927,11995.5,16964.19878744646,23991.0,0.0,0,0,0,0,0,23991.0,11995.5,16964.19878744646,23991.0,0.0,0,0,0,0,0,60,0.0,125.04689258471927,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,0,0,0,0,0,0,3,31,-1,64059,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-56024-443-6,192.168.31.107,56024,31.13.87.1,443,6,27/09/2023 05:58:54 下午,60066446,9,8,499.0,379.0,230.0,0.0,55.444444444444436,75.41238477715565,150.0,0.0,47.375,59.341475498050386,14.617145818815384,0.2830199076536008,3754152.875,1.4986428339044234E7,5.9953233E7,0.0,6.0046488E7,7505811.0,2.1213379868472055E7,6.0006243E7,31.0,113213.0,16173.285714285714,19321.031103560752,53348.0,0.0,0,0,0,0,180,176,0.14983406875778868,0.13318583889581215,0.0,230.0,48.77777777777778,65.50308080366328,4290.653594771242,0,1,0,0,0,0,0,0,0.0,51.64705882352941,55.44444444444444,47.375,0,0,0,0,0,0,9,499,8,379,-1,65535,5,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-56024-443-6,31.13.87.1,443,192.168.31.107,56024,6,27/09/2023 05:59:54 下午,1408,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,54687.5,2840.909090909091,469.3333333333333,384.34012714434766,844.0,76.0,488.0,488.0,0.0,488.0,488.0,76.0,76.0,0.0,76.0,76.0,0,1,0,0,40,40,1420.4545454545455,1420.4545454545455,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
