Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.160.74-192.168.31.107-443-62729-6,192.168.31.107,62729,172.217.160.74,443,6,28/09/2023 09:06:00 下午,48746,3,3,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,10605.998440897714,123.08702252492513,9749.2,11837.827089461984,24949.0,82.0,28507.0,14253.5,18464.679377124314,27310.0,1197.0,46385.0,23192.5,4292.84526858353,26228.0,20157.0,0,0,0,0,60,76,61.543511262462566,61.543511262462566,0.0,517.0,73.85714285714286,195.4076325457705,38184.14285714286,0,1,0,0,0,0,0,0,1.0,86.16666666666667,172.33333333333334,0.0,0,0,0,0,0,0,3,517,3,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
172.217.160.74-192.168.31.107-443-62731-6,192.168.31.107,62731,172.217.160.74,443,6,28/09/2023 09:06:00 下午,48492,3,3,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,10661.5524210179,123.73174956693887,9698.4,12095.401101245054,25568.0,135.0,28452.0,14226.0,19254.517651709688,27841.0,611.0,46219.0,23109.5,4531.847360624583,26314.0,19905.0,0,0,0,0,60,76,61.86587478346944,61.86587478346944,0.0,517.0,73.85714285714286,195.4076325457705,38184.14285714286,0,1,0,0,0,0,0,0,1.0,86.16666666666667,172.33333333333334,0.0,0,0,0,0,0,0,3,517,3,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-31.13.87.1-62709-443-6,192.168.31.107,62709,31.13.87.1,443,6,28/09/2023 09:06:05 下午,18761,0,4,0.0,77.0,0,0,0,0,46.0,0.0,19.25,23.05609102457165,4104.258834816907,213.20825115931987,6253.666666666666,10831.66840026657,18761.0,0.0,0,0,0,0,0,18761.0,6253.666666666666,10831.66840026657,18761.0,0.0,0,0,0,0,0,80,0.0,213.20825115931987,0.0,46.0,15.4,21.743964679883014,472.8,1,0,0,0,1,0,0,0,0.0,19.25,0.0,19.25,0,0,0,0,0,0,0,0,4,77,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.110-192.168.31.107-443-62146-6,192.168.31.107,62146,172.217.160.110,443,6,28/09/2023 09:05:57 下午,14896080,1,3,0.0,74.0,0.0,0.0,0.0,0.0,73.0,0.0,24.666666666666668,41.86088070422472,4.967749904672908,0.26852702187421124,4965360.0,8586778.171848333,1.4880514E7,695.0,0,0,0,0,0,1.4895385E7,7447692.5,1.0511596971998332E7,1.4880514E7,14871.0,0,0,0,0,20,72,0.06713175546855281,0.2013952664056584,0.0,73.0,15.0,32.42684073418192,1051.5,0,0,0,0,1,0,0,0,3.0,18.75,0.0,24.666666666666668,0,0,0,0,0,0,1,0,3,74,-1,65535,0,0,14871.0,0.0,14871.0,14871.0,1.4880514E7,0.0,1.4880514E7,1.4880514E7,No Label
172.217.163.36-192.168.31.107-443-62746-6,192.168.31.107,62746,172.217.163.36,443,6,28/09/2023 09:06:04 下午,10074211,4,9,591.0,4450.0,517.0,0.0,147.75,248.62605789954253,1412.0,0.0,494.44444444444446,691.6240147491827,500.386581142682,1.290423637146373,839517.5833333334,2890609.014535124,1.0018398E7,0.0,19504.0,6501.333333333334,10584.805351697938,18722.0,219.0,1.0074211E7,1259276.375,3539231.6091282517,1.0018398E7,0.0,0,0,0,0,80,196,0.39705342681426864,0.8933702103321044,0.0,1412.0,360.07142857142856,587.3455887800135,344974.8406593407,0,1,0,0,0,0,0,0,2.0,387.7692307692308,147.75,494.44444444444446,0,0,0,0,0,0,4,591,9,4450,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
172.217.163.36-192.168.31.107-443-62746-6,192.168.31.107,62746,172.217.163.36,443,6,28/09/2023 09:06:14 下午,460369,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344341169800747,460369.0,0.0,460369.0,460369.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.1721705849003734,2.1721705849003734,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64952,0,0,0,0,0,0,0,0,0,0,No Label
172.217.163.35-192.168.31.107-443-62750-6,192.168.31.107,62750,172.217.163.35,443,6,28/09/2023 09:06:05 下午,10048658,4,9,591.0,4496.0,517.0,0.0,147.75,248.62605789954253,1412.0,0.0,499.55555555555554,689.4590472085907,506.23675320624903,1.2937050897741769,837388.1666666667,2882114.1006599125,9989294.0,0.0,22874.0,7624.666666666666,12359.38397871566,21896.0,455.0,1.0048658E7,1256082.25,3528762.017220801,9989294.0,0.0,0,0,0,0,80,196,0.39806310454590055,0.8956419852282763,0.0,1412.0,363.35714285714283,586.5937668035242,344092.2472527473,0,1,0,0,0,0,0,0,2.0,391.3076923076923,147.75,499.55555555555554,0,0,0,0,0,0,4,591,9,4496,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-104.18.25.173-62791-443-6,192.168.31.107,62791,104.18.25.173,443,6,28/09/2023 09:06:15 下午,37583,3,2,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,13756.219567357582,133.0388739589708,9395.75,10697.300979686419,19003.0,62.0,19211.0,9605.5,13290.07195240116,19003.0,208.0,18310.0,18310.0,0.0,18310.0,18310.0,0,0,0,0,60,56,79.82332437538248,53.21554958358833,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,0,1,0,0,0,0,0,0,0.0,103.4,172.33333333333334,0.0,0,0,0,0,0,0,3,517,2,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.31.1-192.168.31.107-53-63842-6,192.168.31.107,63842,192.168.31.1,53,6,28/09/2023 09:06:15 下午,40932,3,4,38.0,578.0,38.0,0.0,12.666666666666668,21.939310229205777,578.0,0.0,144.5,289.0,15049.350141698425,171.01534251930028,6822.0,9490.042549957298,22682.0,19.0,26461.0,13230.5,18683.882479292144,26442.0,19.0,39096.0,13032.0,10482.34916419025,22750.0,1924.0,0,0,0,0,60,96,73.2922896511287,97.72305286817159,0.0,578.0,76.99999999999999,202.8708244883217,41156.57142857142,0,1,0,0,0,0,0,0,1.0,88.0,12.666666666666666,144.5,0,0,0,0,0,0,3,38,4,578,-1,14638,1,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-13.35.166.65-62793-443-6,192.168.31.107,62793,13.35.166.65,443,6,28/09/2023 09:06:15 下午,51360,3,2,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,10066.19937694704,97.35202492211837,12840.0,14968.12796132725,29109.0,43.0,29312.0,14656.0,20439.62861697834,29109.0,203.0,22005.0,22005.0,0.0,22005.0,22005.0,0,0,0,0,60,56,58.41121495327103,38.94080996884735,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,0,1,0,0,0,0,0,0,0.0,103.4,172.33333333333334,0.0,0,0,0,0,0,0,3,517,2,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
