Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1.0.2.4-4.4.4.4-80-1707-6,4.4.4.4,1707,1.0.2.4,80,6,01/01/1970 08:00:14 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-4.4.4.4-80-1726-6,4.4.4.4,1726,1.0.2.4,80,6,01/01/1970 08:00:33 上午,14999824,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.40000469338840244,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,1.4999824E7,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,140,0.0,0.40000469338840244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999824.0,0.0,6999824.0,6999824.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.2.4-4.4.4.4-80-1749-6,4.4.4.4,1749,1.0.2.4,80,6,01/01/1970 08:00:56 上午,2999824,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.333411560144862,999941.3333333333,1000000.0051626667,2000000.0,0.0,0,0,0,0,0,2999824.0,999941.3333333333,1000000.0051626667,2000000.0,0.0,0,0,0,0,0,92,0.0,1.333411560144862,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-5.5.5.5-0-2511-6,5.5.5.5,2511,1.0.2.4,0,6,01/01/1970 08:00:57 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-4.4.4.4-80-1722-6,4.4.4.4,1722,1.0.2.4,80,6,01/01/1970 08:00:29 上午,14999824,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.40000469338840244,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,1.4999824E7,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,140,0.0,0.40000469338840244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999824.0,0.0,6999824.0,6999824.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.2.4-4.4.4.4-80-1745-6,4.4.4.4,1745,1.0.2.4,80,6,01/01/1970 08:00:52 上午,6999824,0,5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7143036739209443,1749956.0,1707850.8934947064,4000000.0,0.0,0,0,0,0,0,6999824.0,1749956.0,1707850.8934947064,4000000.0,0.0,0,0,0,0,0,116,0.0,0.7143036739209443,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-5.5.5.5-0-2497-6,5.5.5.5,2497,1.0.2.4,0,6,01/01/1970 08:00:43 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-5.5.5.5-0-2504-6,5.5.5.5,2504,1.0.2.4,0,6,01/01/1970 08:00:50 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-4.4.4.4-80-1741-6,4.4.4.4,1741,1.0.2.4,80,6,01/01/1970 08:00:48 上午,6999816,0,5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7143044902894591,1749954.0,1707852.0647675158,4000000.0,0.0,0,0,0,0,0,6999816.0,1749954.0,1707852.0647675158,4000000.0,0.0,0,0,0,0,0,116,0.0,0.7143044902894591,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.2.4-5.5.5.5-0-2508-6,5.5.5.5,2508,1.0.2.4,0,6,01/01/1970 08:00:54 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
