Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.107-104.244.42.2-52929-443-6,104.244.42.2,443,192.168.31.107,52929,6,27/09/2023 04:03:39 下午,258,0,2,0.0,39.0,0,0,0,0,39.0,0.0,19.5,27.577164466275352,151162.79069767444,7751.937984496125,258.0,0.0,258.0,258.0,0,0,0,0,0,258.0,258.0,0.0,258.0,258.0,0,1,0,0,0,40,0.0,7751.937984496125,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,0.0,39.0,0.0,19.5,0,0,0,0,0,0,0,0,2,39,-1,63052,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-104.244.42.2-52929-443-6,104.244.42.2,443,192.168.31.107,52929,6,27/09/2023 04:03:40 下午,666,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,36036.036036036036,4504.504504504504,333.0,405.87929240107826,620.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,0,1,0,0,20,40,1501.5015015015015,3003.003003003003,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
142.251.43.1-192.168.31.107-443-52979-6,192.168.31.107,52979,142.251.43.1,443,6,27/09/2023 04:03:35 下午,16818428,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.05945858911427394,0.17837576734282182,8409214.0,1.1868718025751645E7,1.6801665E7,16763.0,0,0,0,0,0,16763.0,16763.0,0.0,16763.0,16763.0,0,0,0,0,20,52,0.05945858911427394,0.11891717822854787,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
142.251.43.1-192.168.31.107-443-52978-6,192.168.31.107,52978,142.251.43.1,443,6,27/09/2023 04:03:35 下午,16818499,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0594583381073424,0.1783750143220272,8409249.5,1.1868171432209786E7,1.6801314E7,17185.0,0,0,0,0,0,17185.0,17185.0,0.0,17185.0,17185.0,0,0,0,0,20,52,0.0594583381073424,0.1189166762146848,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
142.251.42.227-192.168.31.107-443-52989-6,192.168.31.107,52989,142.251.42.227,443,6,27/09/2023 04:03:36 下午,15695589,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.06371216779440389,0.19113650338321167,7847794.5,1.1076691255678497E7,1.5680198E7,15391.0,0,0,0,0,0,15391.0,15391.0,0.0,15391.0,15391.0,0,0,0,0,20,52,0.06371216779440389,0.12742433558880778,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
184.85.110.47-192.168.31.107-443-53022-6,192.168.31.107,53022,184.85.110.47,443,6,27/09/2023 04:04:24 下午,16046,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,1495.6998628941792,249.2833104823632,5348.666666666666,8905.703472120174,15631.0,78.0,0,0,0,0,0,16046.0,8023.0,10759.336782534507,15631.0,415.0,0,0,0,0,20,60,62.3208276205908,186.9624828617724,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,0,1,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,1,0,3,24,-1,63784,0,0,0,0,0,0,0,0,0,0,No Label
184.85.110.47-192.168.31.107-443-53023-6,192.168.31.107,53023,184.85.110.47,443,6,27/09/2023 04:04:24 下午,17359,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,1382.5681202834264,230.42802004723777,5786.333333333334,9478.005081942789,16726.0,42.0,0,0,0,0,0,17359.0,8679.5,11379.46942963511,16726.0,633.0,0,0,0,0,20,60,57.60700501180944,172.8210150354283,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,0,1,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,1,0,3,24,-1,63784,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-20.42.65.88-52965-443-6,192.168.31.107,52965,20.42.65.88,443,6,27/09/2023 04:04:34 下午,212028,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.432716433678571,212028.0,0.0,212028.0,212028.0,0,0,0,0,0,212028.0,212028.0,0.0,212028.0,212028.0,0,0,0,0,0,40,0.0,9.432716433678571,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-52.205.154.46-53044-443-6,192.168.31.107,53044,52.205.154.46,443,6,27/09/2023 04:04:09 下午,29917860,6,17,643.0,10407.0,517.0,0.0,107.16666666666666,207.00571650721793,1460.0,0.0,612.1764705882351,695.7452151554941,369.34459884497085,0.7687715632067267,1359902.7272727273,6173297.492023137,2.8996313E7,0.0,696935.0,139387.0,195817.7632685554,446654.0,273.0,2.991786E7,1869866.25,7234455.1380943535,2.8996387E7,0.0,0,0,0,0,120,356,0.20054910344523305,0.5682224597614937,0.0,1460.0,460.41666666666663,636.2752970398807,404846.25362318836,0,1,0,0,0,0,0,0,2.0,480.4347826086956,107.16666666666667,612.1764705882352,0,0,0,0,0,0,6,643,17,10407,-1,64240,2,0,921547.0,0.0,921547.0,921547.0,2.8996313E7,0.0,2.8996313E7,2.8996313E7,No Label
172.217.160.99-192.168.31.107-443-53042-6,192.168.31.107,53042,172.217.160.99,443,6,27/09/2023 04:03:52 下午,60397003,7,9,592.0,5460.0,517.0,0.0,84.57142857142857,192.6567389104753,1412.0,0.0,606.6666666666666,677.4392961734653,100.20364752204675,0.2649138070642346,4026466.8666666667,1.199290163791955E7,4.4971766E7,0.0,6.0379257E7,1.00632095E7,1.816414619234148E7,4.4971766E7,1068.0,4.5088853E7,5636106.625,1.5918006641423874E7,4.5031158E7,0.0,0,0,0,0,140,208,0.11589979059060265,0.149014016473632,0.0,1412.0,356.00000000000006,564.6927261794683,318877.875,0,1,0,0,0,0,0,0,1.0,378.25,84.57142857142857,606.6666666666666,0,0,0,0,0,0,7,592,9,5460,-1,65535,3,0,101187.0,0.0,101187.0,101187.0,4.4971766E7,0.0,4.4971766E7,4.4971766E7,No Label
