Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
147.92.146.208-192.168.31.107-443-53273-6,147.92.146.208,443,192.168.31.107,53273,6,27/09/2023 04:10:42 下午,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,64800,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-54.166.123.38-53225-443-6,54.166.123.38,443,192.168.31.107,53225,6,27/09/2023 04:10:42 下午,527,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,58823.529411764706,3795.066413662239,527.0,0.0,527.0,527.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1897.5332068311195,1897.5332068311195,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,47142,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.67-192.168.31.107-443-53187-6,192.168.31.107,53187,172.217.160.67,443,6,27/09/2023 04:10:35 下午,14865886,1,3,0.0,74.0,0.0,0.0,0.0,0.0,73.0,0.0,24.666666666666668,41.86088070422472,4.977839867734759,0.26907242528295994,4955295.333333334,8560318.851816814,1.4839889E7,158.0,0,0,0,0,0,1.4865728E7,7432864.0,1.0475115211836575E7,1.4839889E7,25839.0,0,0,0,0,20,72,0.06726810632073998,0.20180431896221995,0.0,73.0,15.0,32.42684073418192,1051.5,0,0,0,0,1,0,0,0,3.0,18.75,0.0,24.666666666666668,0,0,0,0,0,0,1,0,3,74,-1,65535,0,0,25839.0,0.0,25839.0,25839.0,1.4839889E7,0.0,1.4839889E7,1.4839889E7,No Label
192.168.31.107-104.22.70.127-53051-443-6,192.168.31.107,53051,104.22.70.127,443,6,27/09/2023 04:10:53 下午,39391713,0,4,0.0,40.0,0,0,0,0,39.0,0.0,10.0,19.339079605813716,1.01544200426115,0.10154420042611499,1.3130571E7,2.2709359369840026E7,3.9353071E7,0.0,0,0,0,0,0,3.9391713E7,1.3130571E7,2.2709359369840026E7,3.9353071E7,0.0,0,0,0,0,0,92,0.0,0.10154420042611499,0.0,39.0,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,0.0,10.25,0.0,10.0,0,0,0,0,0,0,0,0,4,40,-1,63916,0,0,38642.0,0.0,38642.0,38642.0,3.9353071E7,0.0,3.9353071E7,3.9353071E7,No Label
192.168.31.107-104.22.70.127-53051-443-6,192.168.31.107,53051,104.22.70.127,443,6,27/09/2023 04:11:33 下午,182,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.010989010989,182.0,0.0,182.0,182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5494.505494505494,5494.505494505494,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64361,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-104.20.218.77-53055-443-6,192.168.31.107,53055,104.20.218.77,443,6,27/09/2023 04:10:54 下午,39574465,0,4,0.0,40.0,0,0,0,0,39.0,0.0,10.0,19.339079605813716,1.0107527669672858,0.10107527669672857,1.3191488333333332E7,2.2806595187964477E7,3.9526264E7,2260.0,0,0,0,0,0,3.9574465E7,1.3191488333333332E7,2.2806595187964477E7,3.9526264E7,2260.0,0,0,0,0,0,92,0.0,0.10107527669672857,0.0,39.0,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,0.0,10.25,0.0,10.0,0,0,0,0,0,0,0,0,4,40,-1,63940,0,0,45941.0,0.0,45941.0,45941.0,3.9526264E7,0.0,3.9526264E7,3.9526264E7,No Label
192.168.31.107-104.20.218.77-53055-443-6,192.168.31.107,53055,104.20.218.77,443,6,27/09/2023 04:11:34 下午,62373,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06515639780033,62373.0,0.0,62373.0,62373.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.032578198900165,16.032578198900165,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63665,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-52.49.43.45-53287-443-6,192.168.31.107,53287,52.49.43.45,443,6,27/09/2023 04:11:35 下午,1238349,8,13,713.0,8602.0,386.0,0.0,89.125,139.52412745778824,1460.0,0.0,661.6923076923077,711.1214599273676,7522.112102484841,16.958062710915907,61917.44999999998,123981.9143548874,335513.0,0.0,944345.0,134906.42857142858,166849.21579463812,351888.0,95.0,1237599.0,103133.25,149568.6224508366,336154.0,0.0,0,0,0,0,160,276,6.4602143660632025,10.497848344852704,0.0,1460.0,423.40909090909093,617.8288142543562,381712.4437229438,0,1,0,0,0,0,0,0,1.0,443.57142857142856,89.125,661.6923076923077,0,0,0,0,0,0,8,713,13,8602,-1,28944,4,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-52.49.43.45-53287-443-6,52.49.43.45,443,192.168.31.107,53287,6,27/09/2023 04:11:36 下午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,28944,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.107-60.199.191.96-53290-443-6,192.168.31.107,53290,60.199.191.96,443,6,27/09/2023 04:11:36 下午,132315,10,14,577.0,4366.0,205.0,0.0,57.7,73.22878911709216,1460.0,0.0,311.85714285714283,540.2617395788335,37357.82035294562,181.38533046139895,5752.826086956521,10191.293011247726,35474.0,0.0,109315.0,12146.111111111111,12406.10580968545,35474.0,48.0,130188.0,10014.461538461539,16459.373710317697,52353.0,0.0,0,0,0,0,200,296,75.5772210255829,105.80810943581605,0.0,1460.0,197.71999999999997,421.3207922711625,177511.21000000005,0,1,0,0,0,0,0,0,1.0,205.95833333333334,57.7,311.85714285714283,0,0,0,0,0,0,10,577,14,4366,-1,64035,5,0,0,0,0,0,0,0,0,0,No Label
